d,FOODS_3_090,FOODS_3_586,FOODS_3_252,FOODS_3_555,FOODS_3_714,date,wm_yr_wk,weekday,wday,month,year,snap_CA,snap_TX,snap_WI
d_329,1671,984,418,549,288,2011-12-23,11147,Friday,7,12,2011,0,0,0
d_330,2258,721,295,431,213,2011-12-24,11148,Saturday,1,12,2011,0,0,0
d_331,0,6,0,0,0,2011-12-25,11148,Sunday,2,12,2011,0,0,0
d_332,855,608,259,329,181,2011-12-26,11148,Monday,3,12,2011,0,0,0
d_333,739,490,222,281,126,2011-12-27,11148,Tuesday,4,12,2011,0,0,0
d_334,931,460,190,223,112,2011-12-28,11148,Wednesday,5,12,2011,0,0,0
d_335,800,441,197,253,160,2011-12-29,11148,Thursday,6,12,2011,0,0,0
d_336,1436,576,299,331,188,2011-12-30,11148,Friday,7,12,2011,0,0,0
d_337,2436,584,276,320,163,2011-12-31,11149,Saturday,1,12,2011,0,0,0
d_338,808,396,177,262,117,2012-01-01,11149,Sunday,2,1,2012,1,1,0
d_339,896,472,214,265,162,2012-01-02,11149,Monday,3,1,2012,1,0,1
d_340,715,425,203,261,135,2012-01-03,11149,Tuesday,4,1,2012,1,1,1
d_341,682,436,204,234,126,2012-01-04,11149,Wednesday,5,1,2012,1,0,0
d_342,789,450,210,250,139,2012-01-05,11149,Thursday,6,1,2012,1,1,1
d_343,870,469,240,272,151,2012-01-06,11149,Friday,7,1,2012,1,1,1
d_344,1154,619,290,329,237,2012-01-07,11150,Saturday,1,1,2012,1,1,0
d_345,1115,574,251,303,168,2012-01-08,11150,Sunday,2,1,2012,1,0,1
d_346,639,371,196,201,120,2012-01-09,11150,Monday,3,1,2012,1,1,1
d_347,756,352,172,208,123,2012-01-10,11150,Tuesday,4,1,2012,1,0,0
d_348,751,468,184,222,137,2012-01-11,11150,Wednesday,5,1,2012,0,1,1
d_349,659,374,156,211,109,2012-01-12,11150,Thursday,6,1,2012,0,1,1
d_350,943,443,207,277,134,2012-01-13,11150,Friday,7,1,2012,0,1,0
d_351,1310,588,267,295,152,2012-01-14,11151,Saturday,1,1,2012,0,0,1
d_352,1210,574,276,312,154,2012-01-15,11151,Sunday,2,1,2012,0,1,1
d_353,822,458,178,261,145,2012-01-16,11151,Monday,3,1,2012,0,0,0
d_354,646,368,170,178,98,2012-01-17,11151,Tuesday,4,1,2012,0,0,0
d_355,659,361,169,197,112,2012-01-18,11151,Wednesday,5,1,2012,0,0,0
d_356,716,375,148,220,120,2012-01-19,11151,Thursday,6,1,2012,0,0,0
d_357,871,437,222,256,127,2012-01-20,11151,Friday,7,1,2012,0,0,0
d_358,1380,579,306,327,182,2012-01-21,11152,Saturday,1,1,2012,0,0,0
d_359,1082,547,252,301,174,2012-01-22,11152,Sunday,2,1,2012,0,0,0
d_360,721,399,177,207,128,2012-01-23,11152,Monday,3,1,2012,0,0,0
d_361,688,343,142,193,99,2012-01-24,11152,Tuesday,4,1,2012,0,0,0
d_362,637,330,145,181,109,2012-01-25,11152,Wednesday,5,1,2012,0,0,0
d_363,670,376,176,214,110,2012-01-26,11152,Thursday,6,1,2012,0,0,0
d_364,1006,462,239,263,135,2012-01-27,11152,Friday,7,1,2012,0,0,0
d_365,993,538,289,334,194,2012-01-28,11201,Saturday,1,1,2012,0,0,0
d_366,827,520,262,282,145,2012-01-29,11201,Sunday,2,1,2012,0,0,0
d_367,706,341,187,209,113,2012-01-30,11201,Monday,3,1,2012,0,0,0
d_368,602,374,170,220,122,2012-01-31,11201,Tuesday,4,1,2012,0,0,0
d_369,629,544,216,290,160,2012-02-01,11201,Wednesday,5,2,2012,1,1,0
d_370,619,499,183,262,146,2012-02-02,11201,Thursday,6,2,2012,1,0,1
d_371,871,535,265,304,250,2012-02-03,11201,Friday,7,2,2012,1,1,1
d_372,1286,692,305,381,261,2012-02-04,11202,Saturday,1,2,2012,1,0,0
d_373,998,687,292,356,225,2012-02-05,11202,Sunday,2,2,2012,1,1,1
d_374,647,533,251,267,142,2012-02-06,11202,Monday,3,2,2012,1,1,1
d_375,596,438,205,248,138,2012-02-07,11202,Tuesday,4,2,2012,1,1,0
d_376,626,502,195,264,150,2012-02-08,11202,Wednesday,5,2,2012,1,0,1
d_377,684,523,246,318,150,2012-02-09,11202,Thursday,6,2,2012,1,1,1
d_378,896,538,238,272,181,2012-02-10,11202,Friday,7,2,2012,1,0,0
d_379,1058,700,347,449,226,2012-02-11,11203,Saturday,1,2,2012,0,1,1
d_380,976,638,367,444,207,2012-02-12,11203,Sunday,2,2,2012,0,1,1
d_381,709,546,217,352,173,2012-02-13,11203,Monday,3,2,2012,0,1,0
d_382,665,557,203,294,144,2012-02-14,11203,Tuesday,4,2,2012,0,0,1
d_383,763,342,234,259,145,2012-02-15,11203,Wednesday,5,2,2012,0,1,1
d_384,379,113,224,129,156,2012-02-16,11203,Thursday,6,2,2012,0,0,0
d_385,400,34,242,57,164,2012-02-17,11203,Friday,7,2,2012,0,0,0
d_386,989,634,344,383,203,2012-02-18,11204,Saturday,1,2,2012,0,0,0
d_387,927,674,312,371,209,2012-02-19,11204,Sunday,2,2,2012,0,0,0
d_388,673,483,256,276,149,2012-02-20,11204,Monday,3,2,2012,0,0,0
d_389,782,408,189,241,115,2012-02-21,11204,Tuesday,4,2,2012,0,0,0
d_390,454,438,235,198,140,2012-02-22,11204,Wednesday,5,2,2012,0,0,0
d_391,581,430,266,240,177,2012-02-23,11204,Thursday,6,2,2012,0,0,0
d_392,759,464,239,242,198,2012-02-24,11204,Friday,7,2,2012,0,0,0
d_393,911,588,336,348,239,2012-02-25,11205,Saturday,1,2,2012,0,0,0
d_394,794,599,275,340,221,2012-02-26,11205,Sunday,2,2,2012,0,0,0
d_395,571,430,185,241,119,2012-02-27,11205,Monday,3,2,2012,0,0,0
d_396,462,382,189,230,128,2012-02-28,11205,Tuesday,4,2,2012,0,0,0
d_397,642,401,211,214,142,2012-02-29,11205,Wednesday,5,2,2012,0,0,0
d_398,639,498,245,288,184,2012-03-01,11205,Thursday,6,3,2012,1,1,0
d_399,822,556,295,337,193,2012-03-02,11205,Friday,7,3,2012,1,0,1
d_400,951,625,410,399,244,2012-03-03,11206,Saturday,1,3,2012,1,1,1
d_401,992,607,314,382,288,2012-03-04,11206,Sunday,2,3,2012,1,0,0
d_402,738,502,217,318,181,2012-03-05,11206,Monday,3,3,2012,1,1,1
d_403,683,484,239,285,156,2012-03-06,11206,Tuesday,4,3,2012,1,1,1
d_404,556,430,238,248,156,2012-03-07,11206,Wednesday,5,3,2012,1,1,0
d_405,735,468,241,285,155,2012-03-08,11206,Thursday,6,3,2012,1,0,1
d_406,885,484,228,219,177,2012-03-09,11206,Friday,7,3,2012,1,1,1
d_407,940,595,333,336,244,2012-03-10,11207,Saturday,1,3,2012,1,0,0
d_408,814,546,305,344,212,2012-03-11,11207,Sunday,2,3,2012,0,1,1
d_409,706,503,223,315,143,2012-03-12,11207,Monday,3,3,2012,0,1,1
d_410,533,472,219,284,149,2012-03-13,11207,Tuesday,4,3,2012,0,1,0
d_411,595,485,225,285,170,2012-03-14,11207,Wednesday,5,3,2012,0,0,1
d_412,638,500,228,247,164,2012-03-15,11207,Thursday,6,3,2012,0,1,1
d_413,794,545,336,367,219,2012-03-16,11207,Friday,7,3,2012,0,0,0
d_414,894,653,355,388,314,2012-03-17,11208,Saturday,1,3,2012,0,0,0
d_415,650,615,360,377,262,2012-03-18,11208,Sunday,2,3,2012,0,0,0
d_416,559,473,207,294,189,2012-03-19,11208,Monday,3,3,2012,0,0,0
d_417,513,383,219,243,161,2012-03-20,11208,Tuesday,4,3,2012,0,0,0
d_418,482,388,255,246,164,2012-03-21,11208,Wednesday,5,3,2012,0,0,0
d_419,470,420,230,240,143,2012-03-22,11208,Thursday,6,3,2012,0,0,0
d_420,584,482,280,307,198,2012-03-23,11208,Friday,7,3,2012,0,0,0
d_421,820,637,346,358,243,2012-03-24,11209,Saturday,1,3,2012,0,0,0
d_422,719,611,374,374,211,2012-03-25,11209,Sunday,2,3,2012,0,0,0
d_423,439,395,207,239,162,2012-03-26,11209,Monday,3,3,2012,0,0,0
d_424,431,355,246,220,135,2012-03-27,11209,Tuesday,4,3,2012,0,0,0
d_425,417,390,215,208,136,2012-03-28,11209,Wednesday,5,3,2012,0,0,0
d_426,488,372,196,197,140,2012-03-29,11209,Thursday,6,3,2012,0,0,0
d_427,488,517,280,297,230,2012-03-30,11209,Friday,7,3,2012,0,0,0
d_428,804,675,326,361,265,2012-03-31,11210,Saturday,1,3,2012,0,0,0
d_429,738,652,337,341,230,2012-04-01,11210,Sunday,2,4,2012,1,1,0
d_430,518,480,226,284,140,2012-04-02,11210,Monday,3,4,2012,1,0,1
d_431,517,498,265,284,220,2012-04-03,11210,Tuesday,4,4,2012,1,1,1
d_432,495,538,211,248,156,2012-04-04,11210,Wednesday,5,4,2012,1,0,0
d_433,622,498,257,286,186,2012-04-05,11210,Thursday,6,4,2012,1,1,1
d_434,802,616,331,398,264,2012-04-06,11210,Friday,7,4,2012,1,1,1
d_435,1081,779,414,483,362,2012-04-07,11211,Saturday,1,4,2012,1,1,0
d_436,947,716,321,395,261,2012-04-08,11211,Sunday,2,4,2012,1,0,1
d_437,397,434,215,259,180,2012-04-09,11211,Monday,3,4,2012,1,1,1
d_438,581,397,213,228,129,2012-04-10,11211,Tuesday,4,4,2012,1,0,0
d_439,503,452,222,267,163,2012-04-11,11211,Wednesday,5,4,2012,0,1,1
d_440,466,463,253,298,164,2012-04-12,11211,Thursday,6,4,2012,0,1,1
d_441,641,537,264,314,205,2012-04-13,11211,Friday,7,4,2012,0,1,0
d_442,925,643,390,384,263,2012-04-14,11212,Saturday,1,4,2012,0,0,1
d_443,744,639,354,374,229,2012-04-15,11212,Sunday,2,4,2012,0,1,1
d_444,468,373,195,223,125,2012-04-16,11212,Monday,3,4,2012,0,0,0
d_445,344,442,193,239,152,2012-04-17,11212,Tuesday,4,4,2012,0,0,0
d_446,485,444,187,217,176,2012-04-18,11212,Wednesday,5,4,2012,0,0,0
d_447,485,447,214,215,185,2012-04-19,11212,Thursday,6,4,2012,0,0,0
d_448,800,456,265,232,187,2012-04-20,11212,Friday,7,4,2012,0,0,0
d_449,739,639,490,394,270,2012-04-21,11213,Saturday,1,4,2012,0,0,0
d_450,829,565,359,355,266,2012-04-22,11213,Sunday,2,4,2012,0,0,0
d_451,427,414,217,219,132,2012-04-23,11213,Monday,3,4,2012,0,0,0
d_452,445,417,230,214,158,2012-04-24,11213,Tuesday,4,4,2012,0,0,0
d_453,501,410,187,190,130,2012-04-25,11213,Wednesday,5,4,2012,0,0,0
d_454,470,432,217,194,146,2012-04-26,11213,Thursday,6,4,2012,0,0,0
d_455,677,419,289,255,170,2012-04-27,11213,Friday,7,4,2012,0,0,0
d_456,800,537,391,335,232,2012-04-28,11214,Saturday,1,4,2012,0,0,0
d_457,686,611,331,335,244,2012-04-29,11214,Sunday,2,4,2012,0,0,0
d_458,411,431,220,233,163,2012-04-30,11214,Monday,3,4,2012,0,0,0
d_459,555,464,267,269,173,2012-05-01,11214,Tuesday,4,5,2012,1,1,0
d_460,426,472,292,297,191,2012-05-02,11214,Wednesday,5,5,2012,1,0,1
d_461,577,535,306,330,198,2012-05-03,11214,Thursday,6,5,2012,1,1,1
d_462,628,528,324,281,194,2012-05-04,11214,Friday,7,5,2012,1,0,0
d_463,1074,620,389,336,291,2012-05-05,11215,Saturday,1,5,2012,1,1,1
d_464,751,638,373,395,236,2012-05-06,11215,Sunday,2,5,2012,1,1,1
d_465,916,530,295,305,221,2012-05-07,11215,Monday,3,5,2012,1,1,0
d_466,546,447,292,240,169,2012-05-08,11215,Tuesday,4,5,2012,1,0,1
d_467,392,475,253,287,166,2012-05-09,11215,Wednesday,5,5,2012,1,1,1
d_468,487,496,302,290,224,2012-05-10,11215,Thursday,6,5,2012,1,0,0
d_469,736,510,367,345,271,2012-05-11,11215,Friday,7,5,2012,0,1,1
d_470,950,730,432,469,332,2012-05-12,11216,Saturday,1,5,2012,0,1,1
d_471,765,676,388,395,278,2012-05-13,11216,Sunday,2,5,2012,0,1,0
d_472,521,520,296,262,202,2012-05-14,11216,Monday,3,5,2012,0,0,1
d_473,494,459,287,275,166,2012-05-15,11216,Tuesday,4,5,2012,0,1,1
d_474,508,457,288,226,159,2012-05-16,11216,Wednesday,5,5,2012,0,0,0
d_475,463,453,280,264,174,2012-05-17,11216,Thursday,6,5,2012,0,0,0
d_476,701,518,348,301,205,2012-05-18,11216,Friday,7,5,2012,0,0,0
d_477,818,696,442,368,326,2012-05-19,11217,Saturday,1,5,2012,0,0,0
d_478,671,651,445,365,355,2012-05-20,11217,Sunday,2,5,2012,0,0,0
d_479,508,464,232,240,179,2012-05-21,11217,Monday,3,5,2012,0,0,0
d_480,533,440,272,237,216,2012-05-22,11217,Tuesday,4,5,2012,0,0,0
d_481,458,397,269,214,181,2012-05-23,11217,Wednesday,5,5,2012,0,0,0
d_482,532,485,327,269,171,2012-05-24,11217,Thursday,6,5,2012,0,0,0
d_483,736,545,315,338,247,2012-05-25,11217,Friday,7,5,2012,0,0,0
d_484,784,581,383,396,286,2012-05-26,11218,Saturday,1,5,2012,0,0,0
d_485,640,551,406,313,288,2012-05-27,11218,Sunday,2,5,2012,0,0,0
d_486,625,525,368,331,223,2012-05-28,11218,Monday,3,5,2012,0,0,0
d_487,368,401,249,240,179,2012-05-29,11218,Tuesday,4,5,2012,0,0,0
d_488,405,436,255,263,170,2012-05-30,11218,Wednesday,5,5,2012,0,0,0
d_489,523,386,310,237,174,2012-05-31,11218,Thursday,6,5,2012,0,0,0
d_490,739,587,393,325,317,2012-06-01,11218,Friday,7,6,2012,1,1,0
d_491,760,665,381,410,375,2012-06-02,11219,Saturday,1,6,2012,1,0,1
d_492,614,719,471,380,355,2012-06-03,11219,Sunday,2,6,2012,1,1,1
d_493,411,453,235,266,230,2012-06-04,11219,Monday,3,6,2012,1,0,0
d_494,453,429,302,277,211,2012-06-05,11219,Tuesday,4,6,2012,1,1,1
d_495,539,507,317,280,266,2012-06-06,11219,Wednesday,5,6,2012,1,1,1
d_496,498,501,303,262,243,2012-06-07,11219,Thursday,6,6,2012,1,1,0
d_497,729,526,368,304,335,2012-06-08,11219,Friday,7,6,2012,1,0,1
d_498,903,690,491,483,443,2012-06-09,11220,Saturday,1,6,2012,1,1,1
d_499,855,730,526,402,382,2012-06-10,11220,Sunday,2,6,2012,1,0,0
d_500,599,543,381,337,263,2012-06-11,11220,Monday,3,6,2012,0,1,1
d_501,434,511,318,288,195,2012-06-12,11220,Tuesday,4,6,2012,0,1,1
d_502,475,447,290,271,213,2012-06-13,11220,Wednesday,5,6,2012,0,1,0
d_503,670,524,331,296,228,2012-06-14,11220,Thursday,6,6,2012,0,0,1
d_504,863,622,412,400,367,2012-06-15,11220,Friday,7,6,2012,0,1,1
d_505,850,662,579,428,395,2012-06-16,11221,Saturday,1,6,2012,0,0,0
d_506,659,662,480,363,398,2012-06-17,11221,Sunday,2,6,2012,0,0,0
d_507,539,459,289,281,260,2012-06-18,11221,Monday,3,6,2012,0,0,0
d_508,370,462,251,263,239,2012-06-19,11221,Tuesday,4,6,2012,0,0,0
d_509,284,453,330,259,277,2012-06-20,11221,Wednesday,5,6,2012,0,0,0
d_510,273,442,281,244,231,2012-06-21,11221,Thursday,6,6,2012,0,0,0
d_511,355,552,377,292,248,2012-06-22,11221,Friday,7,6,2012,0,0,0
d_512,602,637,491,396,321,2012-06-23,11222,Saturday,1,6,2012,0,0,0
d_513,668,613,450,361,368,2012-06-24,11222,Sunday,2,6,2012,0,0,0
d_514,450,479,323,292,223,2012-06-25,11222,Monday,3,6,2012,0,0,0
d_515,585,483,315,286,221,2012-06-26,11222,Tuesday,4,6,2012,0,0,0
d_516,529,451,279,298,292,2012-06-27,11222,Wednesday,5,6,2012,0,0,0
d_517,598,379,297,211,289,2012-06-28,11222,Thursday,6,6,2012,0,0,0
d_518,802,498,364,324,298,2012-06-29,11222,Friday,7,6,2012,0,0,0
d_519,634,589,393,358,400,2012-06-30,11223,Saturday,1,6,2012,0,0,0
d_520,601,602,368,321,317,2012-07-01,11223,Sunday,2,7,2012,1,1,0
d_521,654,501,361,281,311,2012-07-02,11223,Monday,3,7,2012,1,0,1
d_522,1009,553,388,327,337,2012-07-03,11223,Tuesday,4,7,2012,1,1,1
d_523,817,615,383,360,290,2012-07-04,11223,Wednesday,5,7,2012,1,0,0
d_524,454,530,382,287,282,2012-07-05,11223,Thursday,6,7,2012,1,1,1
d_525,838,577,384,354,351,2012-07-06,11223,Friday,7,7,2012,1,1,1
d_526,934,630,515,378,335,2012-07-07,11224,Saturday,1,7,2012,1,1,0
d_527,698,577,330,307,339,2012-07-08,11224,Sunday,2,7,2012,1,0,1
d_528,586,441,197,288,229,2012-07-09,11224,Monday,3,7,2012,1,1,1
d_529,611,437,247,243,245,2012-07-10,11224,Tuesday,4,7,2012,1,0,0
d_530,568,466,276,284,238,2012-07-11,11224,Wednesday,5,7,2012,0,1,1
d_531,682,489,260,265,236,2012-07-12,11224,Thursday,6,7,2012,0,1,1
d_532,760,496,327,282,248,2012-07-13,11224,Friday,7,7,2012,0,1,0
d_533,825,661,439,340,374,2012-07-14,11225,Saturday,1,7,2012,0,0,1
d_534,821,635,463,397,392,2012-07-15,11225,Sunday,2,7,2012,0,1,1
d_535,523,491,305,290,271,2012-07-16,11225,Monday,3,7,2012,0,0,0
d_536,584,420,275,271,251,2012-07-17,11225,Tuesday,4,7,2012,0,0,0
d_537,581,410,285,245,194,2012-07-18,11225,Wednesday,5,7,2012,0,0,0
d_538,576,477,330,253,194,2012-07-19,11225,Thursday,6,7,2012,0,0,0
d_539,890,579,468,393,299,2012-07-20,11225,Friday,7,7,2012,0,0,0
d_540,946,704,556,404,406,2012-07-21,11226,Saturday,1,7,2012,0,0,0
d_541,889,608,444,359,329,2012-07-22,11226,Sunday,2,7,2012,0,0,0
d_542,584,431,283,258,258,2012-07-23,11226,Monday,3,7,2012,0,0,0
d_543,531,450,260,257,188,2012-07-24,11226,Tuesday,4,7,2012,0,0,0
d_544,735,423,296,249,213,2012-07-25,11226,Wednesday,5,7,2012,0,0,0
d_545,520,400,274,270,187,2012-07-26,11226,Thursday,6,7,2012,0,0,0
d_546,760,522,327,304,245,2012-07-27,11226,Friday,7,7,2012,0,0,0
d_547,574,586,428,386,356,2012-07-28,11227,Saturday,1,7,2012,0,0,0
d_548,694,600,431,346,304,2012-07-29,11227,Sunday,2,7,2012,0,0,0
d_549,546,481,324,279,231,2012-07-30,11227,Monday,3,7,2012,0,0,0
d_550,464,479,366,260,239,2012-07-31,11227,Tuesday,4,7,2012,0,0,0
d_551,486,519,372,329,278,2012-08-01,11227,Wednesday,5,8,2012,1,1,0
d_552,824,556,358,329,327,2012-08-02,11227,Thursday,6,8,2012,1,0,1
d_553,860,643,458,378,344,2012-08-03,11227,Friday,7,8,2012,1,1,1
d_554,871,725,523,448,344,2012-08-04,11228,Saturday,1,8,2012,1,0,0
d_555,824,711,410,339,292,2012-08-05,11228,Sunday,2,8,2012,1,1,1
d_556,648,534,351,314,287,2012-08-06,11228,Monday,3,8,2012,1,1,1
d_557,553,525,334,358,284,2012-08-07,11228,Tuesday,4,8,2012,1,1,0
d_558,612,502,267,288,231,2012-08-08,11228,Wednesday,5,8,2012,1,0,1
d_559,839,582,354,365,227,2012-08-09,11228,Thursday,6,8,2012,1,1,1
d_560,795,618,443,403,335,2012-08-10,11228,Friday,7,8,2012,1,0,0
d_561,1006,831,622,401,348,2012-08-11,11229,Saturday,1,8,2012,0,1,1
d_562,755,780,516,398,352,2012-08-12,11229,Sunday,2,8,2012,0,1,1
d_563,643,549,342,322,236,2012-08-13,11229,Monday,3,8,2012,0,1,0
d_564,642,515,278,361,241,2012-08-14,11229,Tuesday,4,8,2012,0,0,1
d_565,618,555,308,375,254,2012-08-15,11229,Wednesday,5,8,2012,0,1,1
d_566,707,584,358,359,241,2012-08-16,11229,Thursday,6,8,2012,0,0,0
d_567,811,639,436,423,274,2012-08-17,11229,Friday,7,8,2012,0,0,0
d_568,1105,760,499,442,295,2012-08-18,11230,Saturday,1,8,2012,0,0,0
d_569,832,828,525,410,283,2012-08-19,11230,Sunday,2,8,2012,0,0,0
d_570,669,504,337,233,211,2012-08-20,11230,Monday,3,8,2012,0,0,0
d_571,406,506,327,293,203,2012-08-21,11230,Tuesday,4,8,2012,0,0,0
d_572,634,457,264,271,159,2012-08-22,11230,Wednesday,5,8,2012,0,0,0
d_573,651,499,279,261,161,2012-08-23,11230,Thursday,6,8,2012,0,0,0
d_574,801,555,372,297,228,2012-08-24,11230,Friday,7,8,2012,0,0,0
d_575,1022,696,448,437,319,2012-08-25,11231,Saturday,1,8,2012,0,0,0
d_576,700,809,502,461,280,2012-08-26,11231,Sunday,2,8,2012,0,0,0
d_577,594,545,341,291,200,2012-08-27,11231,Monday,3,8,2012,0,0,0
d_578,548,483,322,279,193,2012-08-28,11231,Tuesday,4,8,2012,0,0,0
d_579,574,494,311,311,224,2012-08-29,11231,Wednesday,5,8,2012,0,0,0
d_580,562,472,333,298,236,2012-08-30,11231,Thursday,6,8,2012,0,0,0
d_581,733,559,384,366,240,2012-08-31,11231,Friday,7,8,2012,0,0,0
d_582,945,745,428,401,245,2012-09-01,11232,Saturday,1,9,2012,1,1,0
d_583,867,723,530,399,296,2012-09-02,11232,Sunday,2,9,2012,1,0,1
d_584,835,700,480,382,382,2012-09-03,11232,Monday,3,9,2012,1,1,1
d_585,561,521,310,262,194,2012-09-04,11232,Tuesday,4,9,2012,1,0,0
d_586,576,481,263,235,187,2012-09-05,11232,Wednesday,5,9,2012,1,1,1
d_587,586,480,291,282,203,2012-09-06,11232,Thursday,6,9,2012,1,1,1
d_588,826,556,312,317,201,2012-09-07,11232,Friday,7,9,2012,1,1,0
d_589,876,682,411,376,225,2012-09-08,11233,Saturday,1,9,2012,1,0,1
d_590,832,706,398,338,272,2012-09-09,11233,Sunday,2,9,2012,1,1,1
d_591,585,445,289,250,176,2012-09-10,11233,Monday,3,9,2012,1,0,0
d_592,554,433,261,251,184,2012-09-11,11233,Tuesday,4,9,2012,0,1,1
d_593,648,453,244,259,168,2012-09-12,11233,Wednesday,5,9,2012,0,1,1
d_594,587,496,237,243,149,2012-09-13,11233,Thursday,6,9,2012,0,1,0
d_595,773,563,301,281,187,2012-09-14,11233,Friday,7,9,2012,0,0,1
d_596,886,709,468,422,286,2012-09-15,11234,Saturday,1,9,2012,0,1,1
d_597,863,657,397,359,245,2012-09-16,11234,Sunday,2,9,2012,0,0,0
d_598,609,482,258,242,148,2012-09-17,11234,Monday,3,9,2012,0,0,0
d_599,545,425,240,231,160,2012-09-18,11234,Tuesday,4,9,2012,0,0,0
d_600,524,412,241,223,136,2012-09-19,11234,Wednesday,5,9,2012,0,0,0
d_601,635,459,269,211,158,2012-09-20,11234,Thursday,6,9,2012,0,0,0
d_602,890,479,309,266,201,2012-09-21,11234,Friday,7,9,2012,0,0,0
d_603,1009,648,500,358,268,2012-09-22,11235,Saturday,1,9,2012,0,0,0
d_604,803,629,406,357,237,2012-09-23,11235,Sunday,2,9,2012,0,0,0
d_605,584,441,214,242,178,2012-09-24,11235,Monday,3,9,2012,0,0,0
d_606,613,448,248,224,147,2012-09-25,11235,Tuesday,4,9,2012,0,0,0
d_607,619,429,199,231,126,2012-09-26,11235,Wednesday,5,9,2012,0,0,0
d_608,690,395,254,211,150,2012-09-27,11235,Thursday,6,9,2012,0,0,0
d_609,771,504,324,249,200,2012-09-28,11235,Friday,7,9,2012,0,0,0
d_610,1051,587,390,316,240,2012-09-29,11236,Saturday,1,9,2012,0,0,0
d_611,864,618,371,311,269,2012-09-30,11236,Sunday,2,9,2012,0,0,0
d_612,633,492,328,278,199,2012-10-01,11236,Monday,3,10,2012,1,1,0
d_613,603,503,316,271,233,2012-10-02,11236,Tuesday,4,10,2012,1,0,1
d_614,512,523,288,293,215,2012-10-03,11236,Wednesday,5,10,2012,1,1,1
d_615,372,520,296,291,180,2012-10-04,11236,Thursday,6,10,2012,1,0,0
d_616,371,547,291,320,220,2012-10-05,11236,Friday,7,10,2012,1,1,1
d_617,955,729,464,377,248,2012-10-06,11237,Saturday,1,10,2012,1,1,1
d_618,878,631,313,349,216,2012-10-07,11237,Sunday,2,10,2012,1,1,0
d_619,687,457,226,277,167,2012-10-08,11237,Monday,3,10,2012,1,0,1
d_620,542,479,222,245,122,2012-10-09,11237,Tuesday,4,10,2012,1,1,1
d_621,628,457,258,241,155,2012-10-10,11237,Wednesday,5,10,2012,1,0,0
d_622,695,476,276,294,147,2012-10-11,11237,Thursday,6,10,2012,0,1,1
d_623,873,584,302,327,171,2012-10-12,11237,Friday,7,10,2012,0,1,1
d_624,1057,727,382,427,235,2012-10-13,11238,Saturday,1,10,2012,0,1,0
d_625,908,677,350,340,221,2012-10-14,11238,Sunday,2,10,2012,0,0,1
d_626,536,485,270,277,146,2012-10-15,11238,Monday,3,10,2012,0,1,1
d_627,571,438,213,197,144,2012-10-16,11238,Tuesday,4,10,2012,0,0,0
d_628,556,480,273,262,163,2012-10-17,11238,Wednesday,5,10,2012,0,0,0
d_629,614,510,264,228,160,2012-10-18,11238,Thursday,6,10,2012,0,0,0
d_630,956,524,334,276,171,2012-10-19,11238,Friday,7,10,2012,0,0,0
d_631,616,651,356,361,205,2012-10-20,11239,Saturday,1,10,2012,0,0,0
d_632,544,601,365,335,241,2012-10-21,11239,Sunday,2,10,2012,0,0,0
d_633,305,466,174,243,128,2012-10-22,11239,Monday,3,10,2012,0,0,0
d_634,396,488,258,240,133,2012-10-23,11239,Tuesday,4,10,2012,0,0,0
d_635,392,381,217,216,133,2012-10-24,11239,Wednesday,5,10,2012,0,0,0
d_636,285,448,233,228,130,2012-10-25,11239,Thursday,6,10,2012,0,0,0
d_637,488,525,295,288,191,2012-10-26,11239,Friday,7,10,2012,0,0,0
d_638,1091,633,451,363,267,2012-10-27,11240,Saturday,1,10,2012,0,0,0
d_639,988,593,355,343,188,2012-10-28,11240,Sunday,2,10,2012,0,0,0
d_640,716,383,207,190,164,2012-10-29,11240,Monday,3,10,2012,0,0,0
d_641,696,466,185,242,149,2012-10-30,11240,Tuesday,4,10,2012,0,0,0
d_642,609,441,190,240,132,2012-10-31,11240,Wednesday,5,10,2012,0,0,0
d_643,710,510,267,326,172,2012-11-01,11240,Thursday,6,11,2012,1,1,0
d_644,866,552,286,301,180,2012-11-02,11240,Friday,7,11,2012,1,0,1
d_645,1012,708,381,438,270,2012-11-03,11241,Saturday,1,11,2012,1,1,1
d_646,941,650,378,359,281,2012-11-04,11241,Sunday,2,11,2012,1,0,0
d_647,617,473,243,283,184,2012-11-05,11241,Monday,3,11,2012,1,1,1
d_648,623,417,229,211,144,2012-11-06,11241,Tuesday,4,11,2012,1,1,1
d_649,619,459,200,245,138,2012-11-07,11241,Wednesday,5,11,2012,1,1,0
d_650,661,447,232,252,131,2012-11-08,11241,Thursday,6,11,2012,1,0,1
d_651,1022,545,277,291,188,2012-11-09,11241,Friday,7,11,2012,1,1,1
d_652,1089,661,394,353,223,2012-11-10,11242,Saturday,1,11,2012,1,0,0
d_653,1061,673,338,333,222,2012-11-11,11242,Sunday,2,11,2012,0,1,1
d_654,696,423,237,223,153,2012-11-12,11242,Monday,3,11,2012,0,1,1
d_655,630,388,203,239,143,2012-11-13,11242,Tuesday,4,11,2012,0,1,0
d_656,654,394,188,235,125,2012-11-14,11242,Wednesday,5,11,2012,0,0,1
d_657,753,482,229,274,157,2012-11-15,11242,Thursday,6,11,2012,0,1,1
d_658,941,501,272,275,163,2012-11-16,11242,Friday,7,11,2012,0,0,0
